time,open,high,low,close,MA Fast,MA Slow,Volume,Volume MA
1751479320,3349.51,3352.08,3348.56,3351.95,3348.2265031942607,3345.6300363051455,1585,2823.85
1751480220,3351.96,3352.75,3351.59,3352.4,3349.0612025554087,3346.245487550132,1594,2724.4
1751481120,3352.46,3352.52,3351.5,3352.44,3349.736962044327,3346.8086250455744,1213,2566.45
1751482020,3352.45,3355.48,3351.98,3355.4,3350.8695696354616,3347.5896591323403,1618,2411.65
1751482920,3355.42,3357.3,3355.28,3355.71,3351.8376557083693,3348.327871938491,2224,2336.05
1751483820,3355.81,3356.85,3354.62,3356.38,3352.7461245666955,3349.0598835804467,1935,2241.75
1751484720,3356.36,3357.01,3355.66,3356.92,3353.5808996533565,3349.774439618588,1766,2169.1
1751485620,3356.9,3359.52,3356.72,3357.98,3354.460719722685,3350.520399653262,2065,2106.3
1751486520,3357.99,3360.04,3357.52,3358.59,3355.2865757781483,3351.2539996847836,900,1988.55
1751487420,3358.58,3359.09,3357.77,3357.97,3355.823260622519,3351.864545167985,910,1872.9
1751488320,3357.98,3358.94,3355.44,3356.38,3355.934608498015,3352.2750410618046,821,1790.1
1751489220,3356.43,3357.42,3355.92,3356.93,3356.1336867984123,3352.698219147095,573,1688.65
1751493720,3358.4,3363.12,3358.39,3362.86,3357.47894943873,3353.62201740645,1248,1622.05
1751494620,3362.72,3365.74,3361.5,3364.17,3358.817159550984,3354.5809249149547,1877,1595.85
1751495520,3364.24,3365.19,3362.27,3362.87,3359.6277276407873,3355.3344771954135,1295,1547.6
1751496420,3362.88,3363.54,3357.14,3357.5,3359.20218211263,3355.5313429049215,1451,1494.95
1751497320,3357.46,3359.55,3352.42,3353.03,3357.967745690104,3355.303948095383,2313,1515.4
1751498220,3353.07,3353.83,3348.9,3350.91,3356.5561965520833,3354.90449826853,2426,1536.95
1751499120,3350.82,3352.3,3349.11,3350.72,3355.3889572416665,3354.5240893350274,1804,1558.8
1751500020,3350.78,3351.45,3346.62,3347.34,3353.779165793333,3353.8709903045706,1926,1577.2
1751500920,3347.32,3347.57,3345,3347.25,3352.4733326346663,3353.2690820950643,2627,1629.3
1751501820,3347.24,3347.86,3345.09,3345.51,3351.080666107733,3352.563710995513,1858,1642.5
1751502720,3345.47,3346.45,3343.78,3344.15,3349.6945328861866,3351.798828177739,1621,1662.9
1751503620,3344.22,3346.3,3343.58,3345.49,3348.853626308949,3351.225298343399,2131,1688.55
1751504520,3345.42,3347.18,3342.01,3345,3348.0829010471593,3350.6593621303628,2721,1713.4
1751505420,3345,3345.52,3341.94,3343.15,3347.0963208377275,3349.9766928457843,2154,1724.35
1751506320,3343.2,3348.3,3343.05,3344.83,3346.643056670182,3349.5088116779857,2639,1768
1751507220,3344.82,3347.54,3344.02,3347.11,3346.7364453361456,3349.2907378890777,1984,1763.95
1751508120,3347.12,3349.18,3345.85,3347.87,3346.9631562689165,3349.1615798991616,2282,1833.05
1751509020,3347.9,3348.08,3346.42,3347.99,3347.168525015133,3349.0550726356014,1391,1857.1
1751509920,3347.94,3348.96,3346.86,3348.02,3347.3388200121067,3348.960975123274,1834,1907.75
1751510820,3348.14,3351.48,3347.87,3350.99,3348.0690560096855,3349.145431930249,2393,1998.75
1751511720,3351,3351.2,3347.11,3347.38,3347.9312448077485,3348.984938118408,1929,2032.8
1751512620,3347.36,3348.16,3345.89,3347.59,3347.862995846199,3348.8581255621893,1726,2025.25
1751513520,3347.59,3348.24,3346.83,3347.71,3347.832396676959,3348.7537505110813,1119,2016.45
1751514420,3347.76,3348.21,3345.53,3348.03,3347.871917341567,3348.687955010074,1121,1999.95
1751515320,3347.98,3349.49,3347.68,3349.42,3348.1815338732536,3348.7545045546126,1144,1941.5
1751516220,3349.44,3350.63,3349.01,3349.34,3348.413227098603,3348.8077314132843,1045,1872.45
1751517120,3349.35,3349.84,3348.79,3349.03,3348.536581678882,3348.82793764844,850,1824.75
1751518020,3349.06,3351.74,3349.04,3350.33,3348.8952653431056,3348.9644887713093,1601,1808.5
1751518920,3350.33,3353.47,3350.19,3353.18,3349.7522122744845,3349.3477170648266,1515,1752.9
1751519820,3353.2,3354.13,3351.08,3351.08,3350.0177698195876,3349.5051973316604,1983,1759.15
1751520720,3351.07,3354.41,3351.07,3354.31,3350.87621585567,3349.9419975742367,2188,1787.5
